school,village,grade,no,stage,hear talk,gender,number of owls seen,what owls eat,home,where build nest,attitude to owls,like nesting in roof,how many different types of owls have you seen near your home?,afraid of owls,what did when last saw owl,what do if owl lands on the roof ,would put nest box in yard,what do you associate owls with?,what do you believe is going to happen if  an owl lands on the roof of your home?,"what problem, if any, do rats and mice cause for you and your family?","what problem, if any, do rats and mice cause for you and your family? 2",what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,"what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?"
Ndengeza Senior Secondary School,Ndengeza,11 and 12,1,2 post,no,female,one,nectar,no,in a cavity in a tree,2 - no feeling,no,one,3 - terrified,2 - run away,3 - chase the owl away,no,witch,someone is going to die,eat us clothes,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,2,2 post,yes,female,one,insects,no,on the ground,2 - no feeling,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,3,2 post,yes,female,none,rats and mice,no,in a cavity in a tree,1 - not like,no,none,3 - terrified,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,4,2 post,yes,female,two,rats and mice,no,in a cavity in a tree,1 - not like,yes,two,2 - very afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,5,2 post,no,male,four,insects,no,in the branches of a tree,1 - not like,no,four,1 - not afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,6,2 post,yes,female,none,insects,no,in the roof of a house,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,I will kill it,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,7,2 post,no,male,four,seeds and grains,yes,in the branches of a tree,1 - not like,yes,two,2 - very afraid,1 - nothing,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,8,2 post,yes,male,one,rats and mice,no,in a cavity in a tree,1 - not like,no,one,3 - terrified,1 - nothing,3 - chase the owl away,yes,witchcraft things,came to be witchcraft,kill it,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,9,2 post,yes,female,one,insects,no,in a cavity in a tree,1 - not like,no,none,2 - very afraid,3 - try and kill the owl,,witchcraft,there are witchcraft out side,I will kill it,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,10,2 post,yes,female,one,insects,no,in the branches of a tree,2 - no feeling,no,none,,3 - try and kill the owl,4 - try and kill the owl,no,I don't know,I don't know,I don't know,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,11,2 post,yes,male,four,insects,no,in the branches of a tree,2 - no feeling,no,four,1 - not afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,12,2 post,yes,male,four,,no,in a cavity in a tree,1 - not like,no,four,1 - not afraid,3 - try and kill the owl,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,13,2 post,yes,female,one,rats and mice,no,in the branches of a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,1 - nothing,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,14,2 post,yes,male,one,rats and mice,no,in a cavity in a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,15,2 post,yes,male,four,rats and mice,yes,in the branches of a tree,1 - not like,no,four,2 - very afraid,2 - run away,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,16,2 post,yes,female,two,rats and mice,yes,in the roof of a house,2 - no feeling,yes,four,2 - very afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,17,2 post,no,male,one,,yes,in the roof of a house,1 - not like,no,none,1 - not afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,18,2 post,yes,female,four,rats and mice,no,in the roof of a house,1 - not like,no,four,2 - very afraid,2 - run away,4 - try and kill the owl,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,19,2 post,yes,female,two,seeds and grains,no,in the roof of a house,2 - no feeling,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,I don't know,I don't know,i don't know,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,20,2 post,yes,male,four,rats and mice,no,in the branches of a tree,2 - no feeling,no,three,,,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,21,2 post,yes,female,one,insects,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,22,2 post,no,female,one,seeds and grains,no,in a cavity in a tree,1 - not like,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,23,2 post,no,male,two,rats and mice,yes,in a cavity in a tree,1 - not like,no,two,3 - terrified,3 - try and kill the owl,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,24,2 post,yes,,four,,yes,in the branches of a tree,1 - not like,no,tree,2 - very afraid,2 - run away,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,25,2 post,yes,female,four,insects,yes,in the roof of a house,3 - like,no,four,1 - not afraid,1 - nothing,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,26,2 post,no,male,one,rats and mice,no,in a cavity in a tree,1 - not like,no,none,2 - very afraid,1 - nothing,3 - chase the owl away,no,witchcraft things,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,27,2 post,yes,male,none,nectar,yes,on the ground,2 - no feeling,yes,none,1 - not afraid,2 - run away,2 - run away,yes,no,now,now,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,28,2 post,yes,female,two,rats and mice,yes,in the branches of a tree,2 - no feeling,no,four,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,the owls. No owls,no,the I kill rats and mice owls,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,29,2 post,yes,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,1 - not afraid,1 - nothing,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,30,2 post,yes,female,none,,no,,2 - no feeling,no,one,2 - very afraid,1 - nothing,1 - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,31,2 post,no,female,none,insects,no,in a cavity in a tree,1 - not like,no,none,3 - terrified,1 - nothing,3 - chase the owl away,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,32,2 post,yes,male,none,rats and mice,no,in the branches of a tree,3 - like,no,none,1 - not afraid,1 - nothing,4 - try and kill the owl,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,33,2 post,no,male,none,insects,no,in the branches of a tree,1 - not like,no,none,2 - very afraid,,3 - chase the owl away,no,,someone going to die ,they love to the owls at my home,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,34,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,one,1 - not afraid,1 - nothing,4 - try and kill the owl,no,it will be going to they big problem,cause food shortage for rats,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,35,2 post,yes,male,two,rats and mice,yes,in the branches of a tree,2 - no feeling,no,three,3 - terrified,3 - try and kill the owl,3 - chase the owl away,yes,which de like I will give them,,,,,,,,,,,,,,,,,,,,,,,,
Ndengeza Senior Secondary School,Ndengeza,11 and 12,36,2 post,yes,male,three,rats and mice,yes,in the roof of a house,3 - like,yes,three,1 - not afraid,1 - nothing,1 - nothing,no,with killing rats and mice,its will help me killing rats,,,,,,,,,,,,,,,,,,,,,,,
